imo,canonical_name,operator,operator_group,vessel_segment,registry_decision,active_status,source_name,source_url,source_checked_at,notes
9370018,Fram,HX / Hurtigruten Expeditions,HX Expeditions,EXPEDITION_CRUISE,ACCEPT,ACTIVE,HX official ships page + VesselFinder,https://www.travelhx.com/en-us/ships/,2026-07-07,Official fleet source https://www.travelhx.com/en-us/ships/ lists Fram; independent IMO identity source https://www.vesselfinder.com/vessels/details/9370018 confirms Fram and IMO 9370018; source checked 2026-07-07; proposal-only READY_FOR_REGISTRY_IMPORT.
9904807,World Traveller,Atlas Ocean Voyages,Mystic Invest Holding,EXPEDITION_CRUISE,ACCEPT,ACTIVE,Atlas official ships page + VesselFinder,https://atlasoceanvoyages.com/ships/,2026-07-07,Official fleet source https://atlasoceanvoyages.com/ships/ lists World Traveller; independent IMO identity source https://www.vesselfinder.com/vessels/details/9904807 confirms World Traveller and IMO 9904807; source checked 2026-07-07; proposal-only READY_FOR_REGISTRY_IMPORT.
9871529,World Voyager,Atlas Ocean Voyages,Mystic Invest Holding,EXPEDITION_CRUISE,ACCEPT,ACTIVE,Atlas official ships page + VesselFinder,https://atlasoceanvoyages.com/ships/,2026-07-07,Official fleet source https://atlasoceanvoyages.com/ships/ lists World Voyager; independent IMO identity source https://www.vesselfinder.com/vessels/details/9871529 confirms World Voyager and IMO 9871529; source checked 2026-07-07; proposal-only READY_FOR_REGISTRY_IMPORT.
9797371,Scenic Eclipse,Scenic Luxury Cruises & Tours,Scenic Group,EXPEDITION_CRUISE,ACCEPT,ACTIVE,Scenic official ocean ships page + VesselFinder,https://www.scenicusa.com/ocean-cruises/ships,2026-07-07,Official fleet source https://www.scenicusa.com/ocean-cruises/ships lists Scenic Eclipse; independent IMO identity source https://www.vesselfinder.com/vessels/details/9797371 confirms Scenic Eclipse and IMO 9797371; source checked 2026-07-07; proposal-only READY_FOR_REGISTRY_IMPORT.
9850460,Scenic Eclipse II,Scenic Luxury Cruises & Tours,Scenic Group,EXPEDITION_CRUISE,ACCEPT,ACTIVE,Scenic official ocean ships page + VesselFinder,https://www.scenicusa.com/ocean-cruises/ships,2026-07-07,Official fleet source https://www.scenicusa.com/ocean-cruises/ships lists Scenic Eclipse II; independent IMO identity source https://www.vesselfinder.com/vessels/details/9850460 confirms Scenic Eclipse II and IMO 9850460; source checked 2026-07-07; proposal-only READY_FOR_REGISTRY_IMPORT.
9903504,Emerald Azzurra,Emerald Cruises,Scenic Group,OCEAN_CRUISE,ACCEPT,ACTIVE,Emerald official yachts page + VesselFinder,https://www.emeraldcruises.com/yachts,2026-07-07,Official fleet source https://www.emeraldcruises.com/yachts lists Emerald Azzurra; independent IMO identity source https://www.vesselfinder.com/vessels/details/9903504 confirms Emerald Azzurra and IMO 9903504; source checked 2026-07-07; proposal-only READY_FOR_REGISTRY_IMPORT.
9903516,Emerald Sakara,Emerald Cruises,Scenic Group,OCEAN_CRUISE,ACCEPT,ACTIVE,Emerald official yachts page + VesselFinder,https://www.emeraldcruises.com/yachts,2026-07-07,Official fleet source https://www.emeraldcruises.com/yachts lists Emerald Sakara; independent IMO identity source https://www.vesselfinder.com/vessels/details/9903516 confirms Emerald Sakara and IMO 9903516; source checked 2026-07-07; proposal-only READY_FOR_REGISTRY_IMPORT.
9243667,Crystal Serenity,Crystal,Crystal,OCEAN_CRUISE,ACCEPT,ACTIVE,Crystal official ships page + VesselFinder,https://www.crystalcruises.com/ships,2026-07-07,Official fleet source https://www.crystalcruises.com/ships lists Crystal Serenity; independent IMO identity source https://www.vesselfinder.com/vessels/details/9243667 confirms Crystal Serenity and IMO 9243667; source checked 2026-07-07; proposal-only READY_FOR_REGISTRY_IMPORT.
9066667,Crystal Symphony,Crystal,Crystal,OCEAN_CRUISE,ACCEPT,ACTIVE,Crystal official ships page + VesselFinder,https://www.crystalcruises.com/ships,2026-07-07,Official fleet source https://www.crystalcruises.com/ships lists Crystal Symphony; independent IMO identity source https://www.vesselfinder.com/vessels/details/9066667 confirms Crystal Symphony and IMO 9066667; source checked 2026-07-07; proposal-only READY_FOR_REGISTRY_IMPORT.
8203438,SeaDream I,SeaDream Yacht Club,SeaDream Yacht Club,OCEAN_CRUISE,ACCEPT,ACTIVE,SeaDream official yachts page + VesselFinder,https://seadream.com/yachts,2026-07-07,Official fleet source https://seadream.com/yachts lists SeaDream I; independent IMO identity source https://www.vesselfinder.com/vessels/details/8203438 confirms SeaDream I and IMO 8203438; source checked 2026-07-07; proposal-only READY_FOR_REGISTRY_IMPORT.
8203440,SeaDream II,SeaDream Yacht Club,SeaDream Yacht Club,OCEAN_CRUISE,ACCEPT,ACTIVE,SeaDream official yachts page + VesselFinder,https://seadream.com/yachts,2026-07-07,Official fleet source https://seadream.com/yachts lists SeaDream II; independent IMO identity source https://www.vesselfinder.com/vessels/details/8203440 confirms SeaDream II and IMO 8203440; source checked 2026-07-07; proposal-only READY_FOR_REGISTRY_IMPORT.
9823687,Evrima,The Ritz-Carlton Yacht Collection,Marriott International,OCEAN_CRUISE,ACCEPT,ACTIVE,Ritz-Carlton official yachts page + VesselFinder,https://www.ritzcarltonyachtcollection.com/yachts,2026-07-07,Official fleet source https://www.ritzcarltonyachtcollection.com/yachts lists Evrima; independent IMO identity source https://www.vesselfinder.com/vessels/details/9823687 confirms Evrima and IMO 9823687; source checked 2026-07-07; proposal-only READY_FOR_REGISTRY_IMPORT.
9967586,Ilma,The Ritz-Carlton Yacht Collection,Marriott International,OCEAN_CRUISE,ACCEPT,ACTIVE,Ritz-Carlton official yachts page + VesselFinder,https://www.ritzcarltonyachtcollection.com/yachts,2026-07-07,Official fleet source https://www.ritzcarltonyachtcollection.com/yachts lists Ilma; independent IMO identity source https://www.vesselfinder.com/vessels/details/9967586 confirms Ilma and IMO 9967586; source checked 2026-07-07; proposal-only READY_FOR_REGISTRY_IMPORT.
9111319,Paul Gauguin,Paul Gauguin Cruises,Ponant,OCEAN_CRUISE,ACCEPT,ACTIVE,Paul Gauguin official ship page + VesselFinder,https://www.pgcruises.com/m-s-paul-gauguin,2026-07-07,Official fleet source https://www.pgcruises.com/m-s-paul-gauguin lists Paul Gauguin; independent IMO identity source https://www.vesselfinder.com/vessels/details/9111319 confirms Paul Gauguin and IMO 9111319; source checked 2026-07-07; proposal-only READY_FOR_REGISTRY_IMPORT.
9222118,Coral Discoverer,Coral Expeditions,Coral Expeditions,EXPEDITION_CRUISE,ACCEPT,ACTIVE,Coral official ships page + VesselFinder,https://www.coralexpeditions.com/au/ships/,2026-07-07,Official fleet source https://www.coralexpeditions.com/au/ships/ lists Coral Discoverer; independent IMO identity source https://www.vesselfinder.com/vessels/details/9222118 confirms Coral Discoverer and IMO 9222118; source checked 2026-07-07; proposal-only READY_FOR_REGISTRY_IMPORT.
9838644,Coral Adventurer,Coral Expeditions,Coral Expeditions,EXPEDITION_CRUISE,ACCEPT,ACTIVE,Coral official ships page + VesselFinder,https://www.coralexpeditions.com/au/ships/,2026-07-07,Official fleet source https://www.coralexpeditions.com/au/ships/ lists Coral Adventurer; independent IMO identity source https://www.vesselfinder.com/vessels/details/9838644 confirms Coral Adventurer and IMO 9838644; source checked 2026-07-07; proposal-only READY_FOR_REGISTRY_IMPORT.
9883986,Coral Geographer,Coral Expeditions,Coral Expeditions,EXPEDITION_CRUISE,ACCEPT,ACTIVE,Coral official ships page + VesselFinder,https://www.coralexpeditions.com/au/ships/,2026-07-07,Official fleet source https://www.coralexpeditions.com/au/ships/ lists Coral Geographer; independent IMO identity source https://www.vesselfinder.com/vessels/details/9883986 confirms Coral Geographer and IMO 9883986; source checked 2026-07-07; proposal-only READY_FOR_REGISTRY_IMPORT.
9000168,Heritage Adventurer,Heritage Expeditions,Heritage Expeditions,EXPEDITION_CRUISE,ACCEPT,ACTIVE,Heritage official ships page + VesselFinder,https://www.heritage-expeditions.com/about/our-ships/,2026-07-07,Official fleet source https://www.heritage-expeditions.com/about/our-ships/ lists Heritage Adventurer; independent IMO identity source https://www.vesselfinder.com/vessels/details/9000168 confirms Heritage Adventurer and IMO 9000168; source checked 2026-07-07; proposal-only READY_FOR_REGISTRY_IMPORT.
9868869,Ocean Victory,Albatros Expeditions,Albatros Travel Group,EXPEDITION_CRUISE,ACCEPT,ACTIVE,Albatros official ships page + VesselFinder,https://albatros-expeditions.com/our-ships,2026-07-07,Official fleet source https://albatros-expeditions.com/our-ships lists Ocean Victory; independent IMO identity source https://www.vesselfinder.com/vessels/details/9868869 confirms Ocean Victory and IMO 9868869; source checked 2026-07-07; proposal-only READY_FOR_REGISTRY_IMPORT.
9880661,Ocean Albatros,Albatros Expeditions,Albatros Travel Group,EXPEDITION_CRUISE,ACCEPT,ACTIVE,Albatros official ships page + VesselFinder,https://albatros-expeditions.com/our-ships,2026-07-07,Official fleet source https://albatros-expeditions.com/our-ships lists Ocean Albatros; independent IMO identity source https://www.vesselfinder.com/vessels/details/9880661 confirms Ocean Albatros and IMO 9880661; source checked 2026-07-07; proposal-only READY_FOR_REGISTRY_IMPORT.
9868534,Ultramarine,Quark Expeditions,Travelopia,EXPEDITION_CRUISE,ACCEPT,ACTIVE,Quark official ships page + VesselFinder,https://www.quarkexpeditions.com/expedition-ships,2026-07-07,Official fleet source https://www.quarkexpeditions.com/expedition-ships lists Ultramarine; independent IMO identity source https://www.vesselfinder.com/vessels/details/9868534 confirms Ultramarine and IMO 9868534; source checked 2026-07-07; proposal-only READY_FOR_REGISTRY_IMPORT.
9883194,Ocean Explorer,Quark Expeditions,Travelopia,EXPEDITION_CRUISE,ACCEPT,ACTIVE,Quark official ships page + VesselFinder,https://www.quarkexpeditions.com/expedition-ships,2026-07-07,Official fleet source https://www.quarkexpeditions.com/expedition-ships lists Ocean Explorer; independent IMO identity source https://www.vesselfinder.com/vessels/details/9883194 confirms Ocean Explorer and IMO 9883194; source checked 2026-07-07; proposal-only READY_FOR_REGISTRY_IMPORT.
9842554,National Geographic Endurance,Lindblad Expeditions / National Geographic,Lindblad Expeditions,EXPEDITION_CRUISE,ACCEPT,ACTIVE,Lindblad official ships page + VesselFinder,https://www.expeditions.com/expedition-ships,2026-07-07,Official fleet source https://www.expeditions.com/expedition-ships lists National Geographic Endurance; independent IMO identity source https://www.vesselfinder.com/vessels/details/9842554 confirms National Geographic Endurance and IMO 9842554; source checked 2026-07-07; proposal-only READY_FOR_REGISTRY_IMPORT.
9880685,National Geographic Resolution,Lindblad Expeditions / National Geographic,Lindblad Expeditions,EXPEDITION_CRUISE,ACCEPT,ACTIVE,Lindblad official ships page + VesselFinder,https://www.expeditions.com/expedition-ships,2026-07-07,Official fleet source https://www.expeditions.com/expedition-ships lists National Geographic Resolution; independent IMO identity source https://www.vesselfinder.com/vessels/details/9880685 confirms National Geographic Resolution and IMO 9880685; source checked 2026-07-07; proposal-only READY_FOR_REGISTRY_IMPORT.
9273076,National Geographic Orion,Lindblad Expeditions / National Geographic,Lindblad Expeditions,EXPEDITION_CRUISE,ACCEPT,ACTIVE,Lindblad official ships page + VesselFinder,https://www.expeditions.com/expedition-ships,2026-07-07,Official fleet source https://www.expeditions.com/expedition-ships lists National Geographic Orion; independent IMO identity source https://www.vesselfinder.com/vessels/details/9273076 confirms National Geographic Orion and IMO 9273076; source checked 2026-07-07; proposal-only READY_FOR_REGISTRY_IMPORT.
9798985,National Geographic Quest,Lindblad Expeditions / National Geographic,Lindblad Expeditions,EXPEDITION_CRUISE,ACCEPT,ACTIVE,Lindblad official ships page + VesselFinder,https://www.expeditions.com/expedition-ships,2026-07-07,Official fleet source https://www.expeditions.com/expedition-ships lists National Geographic Quest; independent IMO identity source https://www.vesselfinder.com/vessels/details/9798985 confirms National Geographic Quest and IMO 9798985; source checked 2026-07-07; proposal-only READY_FOR_REGISTRY_IMPORT.
9799044,National Geographic Venture,Lindblad Expeditions / National Geographic,Lindblad Expeditions,EXPEDITION_CRUISE,ACCEPT,ACTIVE,Lindblad official ships page + VesselFinder,https://www.expeditions.com/expedition-ships,2026-07-07,Official fleet source https://www.expeditions.com/expedition-ships lists National Geographic Venture; independent IMO identity source https://www.vesselfinder.com/vessels/details/9799044 confirms National Geographic Venture and IMO 9799044; source checked 2026-07-07; proposal-only READY_FOR_REGISTRY_IMPORT.
8019356,National Geographic Explorer,Lindblad Expeditions / National Geographic,Lindblad Expeditions,EXPEDITION_CRUISE,ACCEPT,ACTIVE,Lindblad official ships page + VesselFinder,https://www.expeditions.com/expedition-ships,2026-07-07,Official fleet source https://www.expeditions.com/expedition-ships lists National Geographic Explorer; independent IMO identity source https://www.vesselfinder.com/vessels/details/8019356 confirms National Geographic Explorer and IMO 8019356; source checked 2026-07-07; proposal-only READY_FOR_REGISTRY_IMPORT.
